RIC,Date,Close,Exp,CRIC
SCFN9,2009-04-27,35310.0,2009-07-15 00:00:00,2009N
SCFN9,2009-04-28,35060.0,2009-07-15 00:00:00,2009N
SCFN9,2009-04-29,34430.0,2009-07-15 00:00:00,2009N
SCFN9,2009-04-30,36020.0,2009-07-15 00:00:00,2009N
SCFN9,2009-05-04,38110.0,2009-07-15 00:00:00,2009N
SCFN9,2009-05-05,38020.0,2009-07-15 00:00:00,2009N
SCFN9,2009-05-06,37690.0,2009-07-15 00:00:00,2009N
SCFN9,2009-05-07,38800.0,2009-07-15 00:00:00,2009N
SCFN9,2009-05-08,38360.0,2009-07-15 00:00:00,2009N
SCFN9,2009-05-11,37530.0,2009-07-15 00:00:00,2009N
SCFN9,2009-05-12,37030.0,2009-07-15 00:00:00,2009N
SCFN9,2009-05-13,37350.0,2009-07-15 00:00:00,2009N
SCFN9,2009-05-14,35930.0,2009-07-15 00:00:00,2009N
SCFN9,2009-05-15,35980.0,2009-07-15 00:00:00,2009N
SCFN9,2009-05-18,35220.0,2009-07-15 00:00:00,2009N
SCFN9,2009-05-19,36390.0,2009-07-15 00:00:00,2009N
SCFN9,2009-05-20,36810.0,2009-07-15 00:00:00,2009N
SCFN9,2009-05-21,36590.0,2009-07-15 00:00:00,2009N
SCFN9,2009-05-22,36100.0,2009-07-15 00:00:00,2009N
SCFN9,2009-05-25,36860.0,2009-07-15 00:00:00,2009N
SCFN9,2009-05-26,36950.0,2009-07-15 00:00:00,2009N
SCFN9,2009-05-27,37120.0,2009-07-15 00:00:00,2009N
SCFN9,2009-06-01,39090.0,2009-07-15 00:00:00,2009N
SCFN9,2009-06-02,40100.0,2009-07-15 00:00:00,2009N
SCFN9,2009-06-03,40060.0,2009-07-15 00:00:00,2009N
SCFN9,2009-06-04,39360.0,2009-07-15 00:00:00,2009N
SCFN9,2009-06-05,40940.0,2009-07-15 00:00:00,2009N
SCFN9,2009-06-08,40690.0,2009-07-15 00:00:00,2009N
SCFN9,2009-06-09,40660.0,2009-07-15 00:00:00,2009N
SCFN9,2009-06-10,41610.0,2009-07-15 00:00:00,2009N
SCFN9,2009-06-11,41430.0,2009-07-15 00:00:00,2009N
SCFN9,2009-06-12,41560.0,2009-07-15 00:00:00,2009N
SCFN9,2009-06-15,39860.0,2009-07-15 00:00:00,2009N
SCFN9,2009-06-16,39230.0,2009-07-15 00:00:00,2009N
SCFN9,2009-06-17,39030.0,2009-07-15 00:00:00,2009N
SCFN9,2009-06-18,39310.0,2009-07-15 00:00:00,2009N
SCFN9,2009-06-19,39380.0,2009-07-15 00:00:00,2009N
SCFN9,2009-06-22,38580.0,2009-07-15 00:00:00,2009N
SCFN9,2009-06-23,38090.0,2009-07-15 00:00:00,2009N
SCFN9,2009-06-24,38800.0,2009-07-15 00:00:00,2009N
SCFN9,2009-06-25,39570.0,2009-07-15 00:00:00,2009N
SCFN9,2009-06-26,40080.0,2009-07-15 00:00:00,2009N
SCFN9,2009-06-29,40430.0,2009-07-15 00:00:00,2009N
SCFN9,2009-06-30,40710.0,2009-07-15 00:00:00,2009N
SCFN9,2009-07-01,40170.0,2009-07-15 00:00:00,2009N
SCFN9,2009-07-02,40650.0,2009-07-15 00:00:00,2009N
SCFN9,2009-07-03,40060.0,2009-07-15 00:00:00,2009N
SCFN9,2009-07-06,39560.0,2009-07-15 00:00:00,2009N
SCFN9,2009-07-07,39510.0,2009-07-15 00:00:00,2009N
SCFN9,2009-07-08,39120.0,2009-07-15 00:00:00,2009N
SCFN9,2009-07-09,39390.0,2009-07-15 00:00:00,2009N
SCFN9,2009-07-10,40120.0,2009-07-15 00:00:00,2009N
SCFN9,2009-07-13,40080.0,2009-07-15 00:00:00,2009N
SCFN9,2009-07-14,40170.0,2009-07-15 00:00:00,2009N
SCFN9,2009-07-15,41170.0,2009-07-15 00:00:00,2009N
SCFQ0,1999-09-01,16030.0,2000-08-15 00:00:00,2000Q
