RIC,Trade Date,Open,High,Low,Last,Volume,Open Interest,Settlement Price,Universal Close Price,Expiration Date
SCFc6,08-12-1999,18470,18540,18420,18530,3304,14254,18494,18494,
SCFc6,09-12-1999,18430,18480,18430,18450,3570,14726,18458,18458,
SCFc6,10-12-1999,18500,18530,18460,18470,1736,15334,18504,18504,
SCFc6,13-12-1999,18370,18410,18360,18380,3372,16412,18386,18386,
SCFc6,14-12-1999,18450,18460,18420,18430,1958,17466,18446,18446,
SCFc6,15-12-1999,18480,18520,18460,18460,4428,19282,18489,18489,
SCFc6,16-12-1999,19190,19190,18980,19020,1932,3356,19033,19033,
SCFc6,17-12-1999,19000,19040,18930,19010,2992,5368,18993,18993,
SCFc6,21-12-1999,19250,19250,19050,19080,1708,6138,19092,19092,
SCFc6,22-12-1999,18980,19060,18980,19050,332,6220,19034,19034,
SCFc6,23-12-1999,19180,19200,19160,19180,1384,6848,19180,19180,
SCFc6,24-12-1999,19140,19160,19120,19150,2138,7778,19137,19137,
SCFc6,27-12-1999,19200,19240,19160,19160,604,7800,19189,19189,
SCFc6,28-12-1999,19140,19150,19120,19130,838,7964,19131,19131,
SCFc6,29-12-1999,19130,19190,19130,19190,1938,8410,19157,19157,
SCFc6,30-12-1999,19220,19260,19210,19230,3206,9148,19240,19240,
SCFc6,04-01-2000,19250,19320,19250,19270,1746,9430,19283,19283,
SCFc6,05-01-2000,19050,19150,19040,19050,5664,13026,19085,19085,
SCFc6,06-01-2000,19180,19190,19150,19170,2788,13122,19166,19166,
SCFc6,07-01-2000,19200,19210,19150,19200,1526,13638,19182,19182,
SCFc6,11-01-2000,19130,19160,19110,19150,1888,14228,19132,19132,
SCFc6,12-01-2000,19100,19160,19100,19130,1490,14932,19146,19146,
SCFc6,13-01-2000,19380,19380,19300,19320,5288,17008,19330,19330,
SCFc6,14-01-2000,19280,19360,19250,19360,2128,17188,19322,19322,
SCFc6,17-01-2000,19600,19640,19600,19630,400,640,19621,19621,
SCFc6,18-01-2000,19720,19770,19700,19760,1344,1772,19734,19734,
SCFc6,19-01-2000,19820,19860,19730,19750,566,2208,19817,19817,
SCFc6,20-01-2000,19820,19840,19700,19750,1156,2996,19764,19764,
SCFc6,21-01-2000,19700,19750,19680,19750,458,3214,19720,19720,
SCFc6,24-01-2000,19730,19790,19730,19760,396,3484,19768,19768,
SCFc6,25-01-2000,19640,19660,19610,19650,1176,3904,19635,19635,
SCFc6,26-01-2000,19600,19630,19590,19620,758,4104,19607,19607,
SCFc6,27-01-2000,19600,19680,19600,19670,1606,5238,19648,19648,
SCFc6,28-01-2000,19650,19700,19650,19670,972,5698,19676,19676,
SCFc6,31-01-2000,19590,19590,19480,19520,2870,6874,19525,19525,
SCFc6,01-02-2000,19650,19650,19590,19600,1428,7424,19604,19604,
SCFc6,02-02-2000,19560,19630,19560,19570,1504,8130,19596,19596,
SCFc6,14-02-2000,19680,19760,19680,19760,5220,11518,19732,19732,
SCFc6,15-02-2000,19710,19740,19670,19690,5634,15414,19701,19701,
SCFc6,16-02-2000,19720,19720,19560,19560,560,1812,19590,19590,
SCFc6,17-02-2000,19650,19660,19580,19580,466,1956,19630,19630,
SCFc6,18-02-2000,19650,19680,19650,19680,112,2048,19670,19670,
SCFc6,21-02-2000,19600,19660,19590,19600,750,2670,19611,19611,
SCFc6,22-02-2000,19470,19480,19430,19450,276,2830,19440,19440,
