RIC,Trade Date,Open,High,Low,Last,Volume,Open Interest,Settlement Price,Universal Close Price,Expiration Date
CMCUZ7-3,11-03-2010,,,,,,,,612,
CMCUZ7-3,12-03-2010,,,,,,,,637,
CMCUZ7-3,15-03-2010,,,,,,,,625,
CMCUZ7-3,16-03-2010,,,,,,,,662,
CMCUZ7-3,17-03-2010,,,,,,,,649,
CMCUZ7-3,18-03-2010,,,,,,,,620,
CMCUZ7-3,19-03-2010,,,,,,,,592,
CMCUZ7-3,22-03-2010,,,,,,,,578.5,
CMCUZ7-3,23-03-2010,,,,,,,,570.5,
CMCUZ7-3,24-03-2010,,,,,,,,542,
CMCUZ7-3,25-03-2010,,,,,,,,577,
CMCUZ7-3,26-03-2010,,,,,,,,587.5,
CMCUZ7-3,29-03-2010,,,,,,,,711,
CMCUZ7-3,30-03-2010,,,,,,,,791,
CMCUZ7-3,31-03-2010,,,,,,,,746,
CMCUZ7-3,01-04-2010,,,,,,,,776,
CMCUZ7-3,06-04-2010,,,,,,,,811,
CMCUZ7-3,07-04-2010,,,,,,,,728,
CMCUZ7-3,08-04-2010,,,,,,,,766,
CMCUZ7-3,09-04-2010,,,,,,,,801.5,
CMCUZ7-3,12-04-2010,,,,,,,,804,
CMCUZ7-3,13-04-2010,,,,,,,,806,
CMCUZ7-3,14-04-2010,,,,,,,,861,
CMCUZ7-3,15-04-2010,,,,,,,,950,
CMCUZ7-3,16-04-2010,,,,,,,,904,
CMCUZ7-3,19-04-2010,,,,,,,,904.75,
CMCUZ7-3,20-04-2010,,,,,,,,960,
CMCUZ7-3,21-04-2010,,,,,,,,935,
CMCUZ7-3,22-04-2010,,,,,,,,910,
CMCUZ7-3,23-04-2010,,,,,,,,1009,
CMCUZ7-3,26-04-2010,,,,,,,,1013,
CMCUZ7-3,27-04-2010,,,,,,,,934,
CMCUZ7-3,28-04-2010,,,,,,,,905,
CMCUZ7-3,29-04-2010,,,,,,,,892,
CMCUZ7-3,30-04-2010,,,,,,,,887,
CMCUZ7-3,04-05-2010,,,,,,,,805,
CMCUZ7-3,05-05-2010,,,,,,,,761.5,
CMCUZ7-3,06-05-2010,,,,,,,,779.5,
CMCUZ7-3,07-05-2010,,,,,,,,800,
CMCUZ7-3,10-05-2010,,,,,,,,850,
