RIC,Trade Date,Open,High,Low,Last,Volume,Open Interest,Settlement Price,Universal Close Price,Expiration Date
SCFF0,12-11-2009,51080,51190,50830,51040,28704,97148,50980,50980,
SCFF0,13-11-2009,50410,51060,50410,51020,24798,90338,50810,50810,
SCFF0,16-11-2009,51210,52500,51170,52390,47066,77484,51910,51910,
SCFF0,17-11-2009,53470,53550,52750,52900,21676,70878,53060,53060,
SCFF0,18-11-2009,53390,53650,53030,53600,14222,65500,53280,53280,
SCFF0,19-11-2009,53300,53480,53010,53280,12138,60824,53230,53230,
SCFF0,20-11-2009,53120,53540,53100,53400,8944,58150,53350,53350,
SCFF0,23-11-2009,54010,54760,53870,54750,11714,52722,54450,54450,
SCFF0,24-11-2009,54430,54590,53600,53770,12260,48780,54140,54140,
SCFF0,25-11-2009,54140,54500,54050,54460,6474,46838,54280,54280,
SCFF0,26-11-2009,54950,55300,54450,54740,10116,42720,54920,54920,
SCFF0,27-11-2009,54100,54190,53140,53400,14284,40380,53690,53690,
SCFF0,30-11-2009,53950,54660,53950,54320,9002,36528,54380,54380,
SCFF0,01-12-2009,54820,54990,54400,54600,4614,34916,54560,54560,
SCFF0,02-12-2009,55150,55450,54960,55290,5544,33262,55190,55190,
SCFF0,03-12-2009,55560,55780,55310,55650,2868,32614,55600,55600,
SCFF0,04-12-2009,55310,55620,55250,55600,3040,31672,55430,55430,
SCFF0,07-12-2009,55550,55680,55360,55580,2238,31172,55500,55500,
SCFF0,08-12-2009,55590,55750,55430,55560,2144,30376,55540,55540,
SCFF0,09-12-2009,55000,55000,54400,54500,3220,29646,54700,54700,
SCFF0,10-12-2009,54590,54590,53520,54050,5380,27780,53970,53970,
SCFF0,11-12-2009,54100,54330,53780,54300,2198,27600,54070,54070,
SCFF0,14-12-2009,54380,55300,54150,55150,7178,26206,54760,54760,
SCFF0,15-12-2009,55100,55250,55000,55060,4278,25274,55120,55120,
SCFF0,16-12-2009,55120,55450,54910,55330,2912,24406,55330,55330,
SCFF0,17-12-2009,55800,56100,55650,55720,3438,23202,55850,55850,
SCFF0,18-12-2009,55000,55490,55000,55480,2250,22256,55350,55350,
SCFF0,21-12-2009,55920,55920,55370,55720,1598,21426,55600,55600,
SCFF0,22-12-2009,55650,55780,55350,55440,1704,21000,55550,55550,
SCFF0,23-12-2009,55500,55720,55260,55650,2928,20096,55510,55510,
SCFF0,24-12-2009,56400,57100,55900,57090,4790,18244,56480,56480,
SCFF0,25-12-2009,57500,57700,57200,57650,2934,17184,57430,57430,
SCFF0,28-12-2009,57600,58580,57600,58270,3514,16544,58250,58250,
SCFF0,29-12-2009,58050,58580,58050,58580,1972,15864,58200,58200,
SCFF0,30-12-2009,58230,58980,58150,58950,2886,15452,58460,58460,
SCFF0,31-12-2009,58750,60380,58750,59560,5528,13130,59440,59440,
SCFF0,04-01-2010,59400,60250,59400,59930,2480,11940,60090,60090,
SCFF0,05-01-2010,59930,60340,59650,60300,1370,12000,60070,60070,
SCFF0,06-01-2010,60600,61500,60600,61450,2230,10800,61250,61250,
SCFF0,07-01-2010,61800,63000,60520,60950,3350,9570,61580,61580,
SCFF0,08-01-2010,60700,61280,59750,60600,1770,8850,60420,60420,
SCFF0,11-01-2010,60500,62000,60500,61660,2180,7880,61510,61510,
SCFF0,12-01-2010,60880,61450,60880,61250,2170,6930,61120,61120,
SCFF0,13-01-2010,59300,60230,59300,59500,3250,5440,59820,59820,
SCFF0,14-01-2010,60650,60770,60340,60450,1340,4760,60580,60580,
SCFF0,15-01-2010,60450,60600,60010,60110,1750,4010,60360,60360,
SCFF0,02-08-1999,16400,16440,16310,16340,2952,7102,16360,16360,
SCFF0,03-08-1999,16350,16350,16240,16270,1380,7322,16273,16273,
SCFF0,04-08-1999,16350,16360,16320,16330,1306,7846,16330,16330,
SCFF0,05-08-1999,16400,16610,16400,16600,6088,10530,16530,16530,
SCFF0,06-08-1999,16800,16890,16800,16880,6726,12754,16850,16850,
SCFF0,09-08-1999,16900,16940,16800,16930,3926,13584,16870,16870,
SCFF0,10-08-1999,16840,17020,16840,16910,6046,14634,16940,16940,
SCFF0,11-08-1999,16780,16820,16730,16740,7812,14946,16770,16770,
SCFF0,12-08-1999,16860,17060,16860,17050,11332,18516,17010,17010,
SCFF0,13-08-1999,16900,16900,16740,16800,11340,18144,16796,16796,
SCFF0,16-08-1999,17010,17010,16800,16810,6866,19344,16900,16900,
SCFF0,17-08-1999,16800,16880,16730,16740,5276,20424,16790,16790,
SCFF0,18-08-1999,16600,16680,16560,16670,7970,20748,16630,16630,
SCFF0,19-08-1999,16410,16480,16390,16480,10260,20784,16431,16431,
SCFF0,20-08-1999,16520,16530,16460,16470,5082,21608,16490,16490,
SCFF0,23-08-1999,16360,16570,16350,16560,5456,22920,16482,16482,
SCFF0,24-08-1999,16500,16620,16480,16530,10040,25532,16567,16567,
SCFF0,25-08-1999,16720,16880,16720,16860,13954,26660,16800,16800,
SCFF0,26-08-1999,16790,16880,16770,16860,11420,28712,16837,16837,
SCFF0,27-08-1999,16780,16820,16760,16800,5352,28858,16790,16790,
SCFF0,30-08-1999,16900,17030,16880,16910,14056,30882,16960,16960,
SCFF0,31-08-1999,16900,17050,16900,17030,9492,33322,16974,16974,
SCFF0,01-09-1999,17280,17480,17280,17450,20462,37282,17420,17420,
SCFF0,02-09-1999,17640,17650,17410,17430,20148,39680,17550,17550,
SCFF0,03-09-1999,17550,17600,17460,17520,15982,40264,17522,17522,
SCFF0,06-09-1999,17530,17690,17530,17630,11038,41840,17610,17610,
SCFF0,07-09-1999,17690,17960,17650,17960,19972,41560,17800,17800,
SCFF0,08-09-1999,18090,18210,18010,18020,35336,39736,18132,18132,
SCFF0,09-09-1999,18050,18150,17960,18010,15896,39722,18052,18052,
SCFF0,10-09-1999,18150,18180,17880,17890,20980,41310,18020,18020,
SCFF0,13-09-1999,17950,18170,17950,18140,14502,41514,18097,18097,
SCFF0,14-09-1999,18020,18020,17720,17780,20574,40332,17830,17830,
SCFF0,15-09-1999,17630,17690,17550,17650,12794,38840,17649,17649,
SCFF0,16-09-1999,18080,18100,17990,18000,16394,38372,18030,18030,
SCFF0,17-09-1999,17880,17920,17780,17890,10584,37528,17850,17850,
SCFF0,20-09-1999,18180,18320,18180,18240,16968,34566,18260,18260,
